title,link,date
Chinese Consulate General in Johannesburg holds reception to welcome Chinese New Year,https://english.news.cn/africa/20250125/0f40ed622d58462d9969799fe78ce7da/c.html,2025-01-25 18:55:00
"Uganda, China hold symposium to boost tourism, cultural exchange",https://english.news.cn/africa/20250122/f48504e9267144ed982cb7b26bf5bc33/c.html,2025-01-22 21:04:15
"China, AU celebrate achievements in diplomatic, economic ties",https://english.news.cn/africa/20250121/79354e34bbf24e509f4c3f5d9ceb1b96/c.html,2025-01-21 20:10:30
Feature: Chinese medical team in Tanzania's Zanzibar rekindles light of hope for 70-year-old woman,https://english.news.cn/africa/20250120/15d49a4b911443d78c1408651ba7a547/c.html,2025-01-20 21:57:30
Feature: Cross-cultural ties flourish as Kenyans join Chinese New Year celebration,https://english.news.cn/africa/20250120/71c20177a6324d0cb9874848e5480222/c.html,2025-01-20 18:54:45
Feature: Zimbabwean acrobats embrace Chinese Spring Festival culture through lion dance,https://english.news.cn/africa/20250119/43ee797819b341239ad2865ab8c597b3/c.html,2025-01-19 21:14:15
"China, Nigeria universities: bridging cultures to foster Global South diversity",https://english.news.cn/africa/20250119/288374e016404e9ba20e865a940ee40f/c.html,2025-01-19 16:27:30
Feature: Chinese tourists expected to drive tourism growth as Egypt hosts record number of visitors in 2024,https://english.news.cn/africa/20250119/b0c6c1b68b5b4fac882c8539cf7bc753/c.html,2025-01-19 02:24:15
Kenyan bank partners with China UnionPay to boost e-commerce payments,https://english.news.cn/africa/20250118/6f174c63e35e48588b64a83dc8841aed/c.html,2025-01-18 00:54:30
China-Egypt ties hailed as Chinese New Year reception held in Cairo,https://english.news.cn/africa/20250117/80c6ffb9aab841ffa1f57c9d649a5540/c.html,2025-01-17 05:43:15
China to work with Kenya for deepened cooperation: new ambassador,https://english.news.cn/africa/20250117/51e9bea163214c0c932a8b98b31130e5/c.html,2025-01-17 03:11:30
Chinese automaker Geely begins production of 2 models in Egypt,https://english.news.cn/africa/20250117/e501ebd9f6834ee1a5a29fba10a0c4f5/c.html,2025-01-17 02:48:00
China remains Namibia's top trading partner in November 2024,https://english.news.cn/africa/20250117/a7422a523fe7496db60016e7748871e1/c.html,2025-01-17 01:05:00
Feature: Chinese experts share disease prevention knowledge with students in Tanzania's Zanzibar,https://english.news.cn/africa/20250116/0b6a9e3a687c4d4ab3926f1862678ab8/c.html,2025-01-16 00:17:30
"Feature: China, Ethiopia consolidate relations amid Chinese New Year celebration",https://english.news.cn/africa/20250114/02e64f41b11e4fa48aed81eeab0ccd1f/c.html,2025-01-14 00:51:30
"South Africa selects 65 tour operators to process visas for Chinese, Indian tourists",https://english.news.cn/africa/20250114/f7071899f112443c871f2e3df10b185e/c.html,2025-01-14 00:47:30
China's top legislator meets with Grenadian PM,https://english.news.cn/africa/20250113/9b855ad1a5d446e280838dc5dbb0dec3/c.html,2025-01-13 19:46:31
"China, Ethiopia celebrate 55th anniversary of diplomatic relations, Chinese New Year",https://english.news.cn/africa/20250113/954a77b2d79b4bbfadfd8b5ed55fad15/c.html,2025-01-13 00:25:15
China firmly supports Africans in seeking African solutions to African problems -- FM,https://english.news.cn/africa/20250110/69535b11541148b980f4b1499ea0b6e4/c.html,2025-01-10 09:45:15
Sudan starts distribution of China-donated rice,https://english.news.cn/africa/20250109/95e45a22a6f94bd2937096083820113b/c.html,2025-01-09 21:38:31
"China, Republic of Congo to implement FOCAC outcomes for closer cooperation",https://english.news.cn/africa/20250108/05455c0ad926434e98cfd40fe8aeefe2/c.html,2025-01-08 14:47:30
China to join hands with Africa to promote eco-friendly modernization: Chinese FM,https://english.news.cn/africa/20250108/66e61baaf86e47268fe829d69a8bc34a/c.html,2025-01-08 13:47:30
President of Republic of Congo meets Chinese FM to strengthen bilateral ties,https://english.news.cn/africa/20250108/3117209b8c8342568eb08f9707198fab/c.html,2025-01-08 13:21:45
"China, Republic of Congo to set example for all-weather China-Africa community with a shared future: Wang Yi",https://english.news.cn/africa/20250108/f673ae13ae6d4063a6c67eca1843a367/c.html,2025-01-08 11:01:00
Chinese doctors inject new vitality into medical services development in Tanzania's Zanzibar,https://english.news.cn/africa/20250107/069072ae86fe41d1b692a0a0a4480385/c.html,2025-01-07 20:39:15
Tanzania's Zanzibar president praises Chinese firm for modern bus station construction,https://english.news.cn/africa/20250105/a702cc4710a6466197e92a935e8c2aee/c.html,2025-01-05 22:08:15
Chinese medical team provides free cataract surgery in Ethiopia,https://english.news.cn/africa/20250104/1dac188d3e5a4014bed5c0cb1689aee3/c.html,2025-01-04 01:29:00
"Interview: Life quality in Xinjiang debunks false Western narratives, says Egyptian media veteran",https://english.news.cn/africa/20250104/a68cb0a2ff3341ac93efe5fdfc021a97/c.html,2025-01-04 00:06:15
"Interview: China's development great opportunity for Africa, says former Nigerian president",https://english.news.cn/africa/20250103/19d23f2fb4534e63b9971df3c0ded092/c.html,2025-01-03 20:20:00
"2024, fruitful year of China-Zambia ties",https://english.news.cn/africa/20241231/2338bc6b5aeb43369a956c5417f18ef1/c.html,2024-12-31 15:18:15
Feature: Chinese doctors deliver life-changing care to Botswanan patients,https://english.news.cn/africa/20241230/cc631fd9b3504ad586cacbdb0c78496d/c.html,2024-12-30 20:19:30
Chinese doctors offer free clinic services to over 200 people in Tanzania's Zanzibar,https://english.news.cn/africa/20241228/8cc9ab60996449d6a2d054059c2e5ce4/c.html,2024-12-28 21:47:00
Chinese enterprises urged to contribute to Zambia's development,https://english.news.cn/africa/20241228/ed5a9a0885d149c181c0f5eb92e2ad09/c.html,2024-12-28 21:39:15
Yearender: An awakened Africa joins hands with Global South to advance modernization,https://english.news.cn/africa/20241228/4769b589293b42158cfd76a12440da54/c.html,2024-12-28 19:53:15
"Chinese company awards Ethiopian influencers for promoting peace, economic development",https://english.news.cn/africa/20241227/c3fd833520fa44d5887e8bd25593330c/c.html,2024-12-27 21:23:00
Tanzania makes first shipment of honey to China,https://english.news.cn/africa/20241226/85e045d9bf3a493fa5ea332a35447ce7/c.html,2024-12-26 16:00:45
"First China-Ethiopia Film, TV Festival opens to promote cultural exchange",https://english.news.cn/africa/20241222/685c48a18db9423894f56b532f5e8458/c.html,2024-12-22 19:35:30
Guest Opinion: More African banks in China positive for FOCAC financial integration,https://english.news.cn/africa/20241221/9a0bdb868543482b891dc7c4d4b5c156/c.html,2024-12-21 22:27:15
Roundup: Growing demand for Traditional Chinese Medicine promotes China-Zimbabwe cooperation,https://english.news.cn/africa/20241221/34fa799f0bcf4859a8717261b93be96f/c.html,2024-12-21 01:31:30
Guest Opinion: China's green development a global path to sustainability,https://english.news.cn/africa/20241220/23ebd4dbceba440b99af6a5f717267dc/c.html,2024-12-20 20:09:00
First China-aided agricultural training session kicks off in DR Congo,https://english.news.cn/africa/20241220/2afdcec397c64a0794e27ff420f896b6/c.html,2024-12-20 01:03:45
"Chinese medical team donates medicines, equipment to South Sudan's main hospital",https://english.news.cn/africa/20241218/20d50be743864b8d9d2e70bf70348341/c.html,2024-12-18 23:16:30
"Zoom Africa: ""Made in Africa, Used for Africa"" leads China-Africa medicine cooperation",https://english.news.cn/africa/20241218/92385b046649426f8f23d9ddd8094c6e/c.html,2024-12-18 12:42:30
"Chinese enterprises in Kenya drive green growth, modernization: report",https://english.news.cn/africa/20241218/b346d69094a94874943aa64905f29067/c.html,2024-12-18 01:01:46
"Feature: Chinese medics sowing seeds of solidarity, friendship in Sao Tome and Principe",https://english.news.cn/africa/20241218/ae025be8ed634e3d8144d5a8e47bd3d9/c.html,2024-12-18 00:50:30
Chinese construction firm reaffirms commitment to Tanzania in CSR report,https://english.news.cn/africa/20241217/4963abf60e1e48b89c5149c590208a98/c.html,2024-12-17 02:58:45
Somalia concludes explosive management training with Chinese support,https://english.news.cn/africa/20241217/619618f94b754ec48f27a3d97ae3f45a/c.html,2024-12-17 00:30:00
"China donates nearly 1,000 tonnes of emergency food to support vulnerable people in South Sudan",https://english.news.cn/africa/20241217/563e8be82680432da716262d609bcfd9/c.html,2024-12-16 23:59:46
"China-Ethiopia Friendship Relay Race held to promote road safety, healthy life",https://english.news.cn/africa/20241216/0167c7609544470e9826eb0c7238e8ff/c.html,2024-12-16 22:50:15
Chinese firms commit to community development in Zimbabwe,https://english.news.cn/africa/20241216/09ff4514ba06418197e3cd53f06cd575/c.html,2024-12-16 22:22:45
"Interview: Robust Tanzania-China ties pave way for extensive cooperation, says Tanzania's Zanzibar senior tourism official",https://english.news.cn/africa/20241214/aab5d4e9b24c4f0b908c11510ea92a44/c.html,2024-12-14 22:25:15
Zambian president meets senior Chinese political advisor,https://english.news.cn/africa/20241214/059e2b1070904487a9fb5d8f74fbc770/c.html,2024-12-14 16:58:31
Feature: China's Luban Workshop fuels young Kenyans' innovative spirit,https://english.news.cn/africa/20241208/303e498b4f14478cb638337c688de2b2/c.html,2024-12-08 01:45:45
"Interview: BRI delivers benefits to all, says former S. African diplomat",https://english.news.cn/africa/20241207/1d4a117670c34d93b791301feb5e517c/c.html,2024-12-07 15:22:30
Namibia bolsters water infrastructure with Chinese assistance,https://english.news.cn/africa/20241207/55c05f7c65974dd090201c7f01b544ed/c.html,2024-12-07 01:40:45
"Ethiopia to host first China-Ethiopia film, TV festival",https://english.news.cn/africa/20241207/f0fc549363aa44ef928ec275898ebf81/c.html,2024-12-07 01:22:15
