title,link,date
China-Greece wind power collaboration boosts renewable energy transition,https://english.news.cn/europe/20250126/660022ca88c5444abe3862974a335328/c.html,2025-01-26 08:33:45
Lion dance ignites cultural exchanges at Dutch ice hockey arena,https://english.news.cn/europe/20250125/0f039c7f393a4119b031704b6689fe9e/c.html,2025-01-25 21:46:15
"Hungarian minister expects Hungary-China ties to be as ""fragrant"", ""enduring"" as Tokaji wine",https://english.news.cn/europe/20250125/3cc19b68464f4964950970aebfd0f85e/c.html,2025-01-25 07:04:30
"China promotes winter tourism, Spring Festival charm in Budapest",https://english.news.cn/europe/20250124/e95975cc53344c1c91cc1a56c62271c2/c.html,2025-01-24 07:55:30
"Shanghai, Athens forge partnership with twinning agreement",https://english.news.cn/europe/20250124/397224535737443c86010dea4d83a4dd/c.html,2025-01-24 01:51:15
Festive tram celebrates Chinese New Year on The Hague's busiest line,https://english.news.cn/europe/20250121/19cb292585fb457fa807bb653e57e865/c.html,2025-01-21 21:42:45
Feature: Budapest's Chinatown comes alive with colorful Spring Festival celebrations,https://english.news.cn/europe/20250120/c5613adf6dd74cf98c06a4d243129e1b/c.html,2025-01-20 07:25:15
Feature: Italian man embarks on first Chinese Spring Festival journey,https://english.news.cn/europe/20250119/d88c3f339b5040aab938f12ba71a874e/c.html,2025-01-19 01:51:15
"Chinese, Israeli companies strike deal for joint venture battery plant in Spain",https://english.news.cn/europe/20250118/ae90f870d34a4bb897257bb19ad30ed7/c.html,2025-01-18 05:11:45
Chairwoman of BiH presidency hails relations with China,https://english.news.cn/europe/20250118/5300c4061d4d41e8b0629ff375262664/c.html,2025-01-18 02:01:30
Chinese ambassador calls for closer China-UK cooperation,https://english.news.cn/europe/20250117/1f17adf8b15144cc80b8765df0f01155/c.html,2025-01-17 04:08:15
WGDO conference taps China-Europe green cooperation,https://english.news.cn/europe/20250116/f99ca4e33fa042aa838fe6deca9c8e96/c.html,2025-01-16 01:54:45
Year of the Snake stamps released at Confucius Institute in Minsk,https://english.news.cn/europe/20250116/010a813d2a234f2c925ffcdbe4cfe546/c.html,2025-01-15 23:24:15
China expects to achieve greater progress in bilateral ties with EU,https://english.news.cn/europe/20250115/1a90a39ef7e04b16a0cc193fecec81e1/c.html,2025-01-15 22:07:18
Russia-China partnership key to global stability: Lavrov,https://english.news.cn/europe/20250114/368557514dfc4d9e856104b78f70c4f2/c.html,2025-01-14 22:44:45
Danish businesses seize market opportunities through China expo,https://english.news.cn/europe/20250114/5314d8d5c937436791bf6de16738e063/c.html,2025-01-14 22:22:15
"""Nihao! China"" in Bucharest highlights China's winter tourist attractions",https://english.news.cn/europe/20250114/ad8601f846474958bb7f283bda27c0b7/c.html,2025-01-14 20:17:15
"Sound trade ties benefit China, Britain",https://english.news.cn/europe/20250114/319f14002b6d4fa0b9f7c68bcb6c9ceb/c.html,2025-01-14 18:36:30
Event held in Bulgaria to celebrate upcoming Spring Festival,https://english.news.cn/europe/20250113/531c65b11b5a472e93a6c25b5e1c0215/c.html,2025-01-13 04:33:15
Norway's travel fair sees growing interest in China travel,https://english.news.cn/europe/20250111/cfdf3a83f5ea4ee6b3dbfffd450a3c47/c.html,2025-01-11 07:37:45
China tops investments in Hungary as Asia leads 2024 FDI,https://english.news.cn/europe/20250109/bb25ef661bb74ca9813055c98a43d45f/c.html,2025-01-09 20:58:45
Feature: A Confucius Institute director's mission of promoting Chinese culture,https://english.news.cn/europe/20250105/165aeb7eb30c4d5790ab09afd61c102f/c.html,2025-01-05 22:24:30
"Interview: China's visa-free policy paves way for stronger cultural, business ties, says Croatian ex-speaker",https://english.news.cn/europe/20250102/ee0554b3ef1344bfa48872dc301d6740/c.html,2025-01-01 23:52:45
Feature: A Hungarian expert's first visit to China,https://english.news.cn/europe/20250101/87dbb9f72fab476098a83d435f2bc5ea/c.html,2025-01-01 02:30:00
"Türkiye targets more Chinese tourists by 2025, promoting new horizons",https://english.news.cn/europe/20241229/c0d3d6c529c24746b786bac44c061a11/c.html,2024-12-29 22:17:15
"Economic Watch: Trade, trains and technology driving China-Europe connections forward",https://english.news.cn/europe/20241228/e187421d6d454c6ea97f5b90b6dfdb1c/c.html,2024-12-28 22:04:45
"Interview: China's Belt and Road Initiative offers ""win-win solutions"" to nations, says Turkish expert",https://english.news.cn/europe/20241225/f1f990a1afbb42abaa106fdb18527dfb/c.html,2024-12-25 14:22:45
China to work with other Global South countries on Ukraine crisis: spokesperson,https://english.news.cn/europe/20241223/ea4abbb2787c4f2d86efcc1269c4b1d3/c.html,2024-12-23 19:10:17
"Interview: China's visa-free policy to boost tourism, business ties -- Croatian business leader",https://english.news.cn/europe/20241223/15b103df9c6c4c3a90fc072773d57f62/c.html,2024-12-23 18:17:45
"Interview: Serbia and China are not only partners, but also trusted friends: Serbian FM",https://english.news.cn/europe/20241223/65d991a25a36461b81f2ec080b9a65de/c.html,2024-12-23 16:00:15
Belarus ready to enhance cultural exchanges with China: minister,https://english.news.cn/europe/20241222/d8b2d4579b72492eaaa5ff5d63096ba6/c.html,2024-12-22 10:03:30
"Interview: China's stimulus measures timely to boost confidence, says German economist",https://english.news.cn/europe/20241221/f741d6f8ba4d4caf9e0fcdccb249269c/c.html,2024-12-21 22:30:30
"Interview: Bridging cultures is enduring legacy of Marco Polo's journey, says curator",https://english.news.cn/europe/20241221/670c07ece3eb4c6f992a83ea4f3c631f/c.html,2024-12-21 02:09:16
"Interview: Macao demonstrates success of ""one country, two systems,"" says former Croatian deputy PM",https://english.news.cn/europe/20241220/6f0fc288fca3469faa93a4b7d17b2c42/c.html,2024-12-20 21:30:00
"Visa-free policy, direct flights boost Hungarians' interest in China travel",https://english.news.cn/europe/20241220/b7f194ff123246c881e82fe0f3bfa7e6/c.html,2024-12-20 20:43:30
Germany's Scholz urges swift deal with China over EV dispute,https://english.news.cn/europe/20241220/e397c8d9d45141d98c6c6dddd81fb2bd/c.html,2024-12-20 06:01:15
China-published books about Bulgaria presented in Sofia,https://english.news.cn/europe/20241220/bd0114dea1e545638171cd76eecdec28/c.html,2024-12-20 04:55:45
FLASH: RUSSIA-CHINA TIES REACH UNPRECEDENTED LEVEL DUE TO MUTUAL TRUST: PUTIN,https://english.news.cn/europe/20241219/d5079d2c8cf540588504f218dccaa997/c.html,2024-12-19 19:26:00
"China firmly opposes EU adding Chinese individuals, entities on sanctions list against Russia",https://english.news.cn/europe/20241219/eb1f40c8989c433383a935034b225dee/c.html,2024-12-19 10:39:16
Albanian version of Analects of Confucius launched,https://english.news.cn/europe/20241219/e139b310afd346848f23374927083fe3/c.html,2024-12-19 04:46:00
Postage stamp marks 75th anniversary of Sino-Bulgarian ties,https://english.news.cn/europe/20241219/47e28238ddc74e2396098ccd49e97581/c.html,2024-12-19 03:39:30
France launches Franco-Chinese cultural exchange event in southern town,https://english.news.cn/europe/20241218/c10890175c874c18a3062fd6d3e664fa/c.html,2024-12-18 10:30:00
"Interview: Chinese automakers' investments to benefit Türkiye, says scholar",https://english.news.cn/europe/20241217/56d57dd93e4f4972910f62ee4fd0f3bf/c.html,2024-12-17 19:05:58
"Interview: China's visa-free policy spurs interest among Polish tourists, says tourism professional",https://english.news.cn/europe/20241217/93b92729f8514c8a863cef987595878d/c.html,2024-12-17 05:27:15
Albania holds first national Kung Fu competition,https://english.news.cn/europe/20241216/25ac655326864286aba85c8477bae4cf/c.html,2024-12-16 03:27:45
"Interview: China Film Festival offers ""unique opportunity"" to explore China: Croatian expert",https://english.news.cn/europe/20241215/4edfa269e32d46249f601620d28ebfd7/c.html,2024-12-15 23:13:15
