title,link,date
Vietnamese PM meets Chinese ambassador on ties,https://english.news.cn/asiapacific/20250127/4671678da85546d8b7353abecedaeb20/c.html,2025-01-27 10:10:16
"Myanmar's leader expresses gratitude to China for support in it's peaceful, stable development",https://english.news.cn/asiapacific/20250126/51c01c14dcfc416e8ee926e07a383d69/c.html,2025-01-26 15:33:16
"Event held in Yangon to celebrate Spring Festival, boost China-Myanmar cultural exchange",https://english.news.cn/asiapacific/20250125/39df3d216a184699b4aabd60f9be66d3/c.html,2025-01-25 17:25:45
"China, Vietnam pledge to promote bilateral ties",https://english.news.cn/asiapacific/20250125/23971d06dbb14713bbd21e7f19228132/c.html,2025-01-25 00:08:30
"Feature: From calligraphy to cuisine, Chinese cultural elements showcased in Spring Festival celebration in Myanmar",https://english.news.cn/asiapacific/20250124/97f1c98fb5ec4de189ddc566969253f4/c.html,2025-01-24 20:48:45
Chinese embassy in Myanmar hosts Spring Festival celebrations,https://english.news.cn/asiapacific/20250124/1babe8d4b484441497782d725baaa0f8/c.html,2025-01-24 15:20:32
Reception held in Lao capital to mark upcoming Chinese New Year,https://english.news.cn/asiapacific/20250123/eaf4e369d49b4370a1f9d2782f3d5e04/c.html,2025-01-23 19:35:15
9th ASEAN International Chorus Festival held in Thailand,https://english.news.cn/asiapacific/20250123/ee9b72b1d3af41feb53ef1eddd41e439/c.html,2025-01-23 18:56:45
"CPEC symbolizes Pakistan-China friendship, shared vision: minister",https://english.news.cn/asiapacific/20250123/fc077bbdbf864516a45fbafbe17e767a/c.html,2025-01-23 18:47:32
Feature: Wu opera enthrals Bangladesh audience in mood of Chinese Spring Festival,https://english.news.cn/asiapacific/20250122/fc3b648b64a34b189fd90c843db171e5/c.html,2025-01-22 19:18:30
"70 years of friendship builds solid foundation of mutual trust between China, Afghanistan",https://english.news.cn/asiapacific/20250122/1a63cc71ab1448cf9585494dbf15b80a/c.html,2025-01-22 16:52:00
"Thailand-China economic and trade cooperation forum, China int'l supply chain expo roadshow held in Bangkok",https://english.news.cn/asiapacific/20250122/b3409b9ac2f64abd9464140a35194305/c.html,2025-01-22 14:34:18
Australian-Chinese research makes breakthrough in solving mystery of how Mars evolved,https://english.news.cn/asiapacific/20250122/dd1585cc4d91469e9e97cba83990d1f9/c.html,2025-01-22 09:30:15
Delegation of Chinese entrepreneurs visits Thailand,https://english.news.cn/asiapacific/20250121/af30fc5783724934a4139fb7ef8803b2/c.html,2025-01-21 20:41:31
Feature: New pair of giant pandas make debut in South Australia,https://english.news.cn/asiapacific/20250121/339a2d4df6a04992b57239599f5bd498/c.html,2025-01-21 16:03:30
Singapore expects heavy traffic at land checkpoints during Chinese New Year,https://english.news.cn/asiapacific/20250120/796775b1930d465c9ded590a1b409f22/c.html,2025-01-20 14:42:30
Close ties with China important for Malaysia's economic goals: Malaysian minister,https://english.news.cn/asiapacific/20250120/ac3ec37231ce4d4ea0cba20f9250bcbd/c.html,2025-01-20 14:13:15
Cambodian villagers celebrate upcoming Chinese New Year,https://english.news.cn/asiapacific/20250119/7f99a93b3d8242cfa3e0cd0bf177a803/c.html,2025-01-19 22:12:15
Feature: Experience Chinese culture at Spring Festival markets in Myanmar,https://english.news.cn/asiapacific/20250119/7bacb6d51a004e9b8cf5d4f58fedd319/c.html,2025-01-19 20:38:30
"S. Korea's Yoon refuses investigation again, urging peaceful protests",https://english.news.cn/asiapacific/20250119/b17bd485450d4202bd04ff30fe8995da/c.html,2025-01-19 20:37:15
Thai PM highlights cultural bond with China in Lunar New Year greetings,https://english.news.cn/asiapacific/20250119/bcc58f6d3a254f508c4caf5fd5318391/c.html,2025-01-19 19:06:15
Chinese New Year celebrations launched in Nepal,https://english.news.cn/asiapacific/20250119/d044cfeab5804c048d1c5417792ef187/c.html,2025-01-19 11:41:30
Chinese ambassador to Myanmar presents Spring Festival packages to overseas Chinese,https://english.news.cn/asiapacific/20250118/7090f90f7afd4b69960dfccb524ceabe/c.html,2025-01-18 20:58:30
Indonesia's Whoosh high-speed train expands to 62 daily trips starting February 2025,https://english.news.cn/asiapacific/20250118/fcc2ffbe6d0843abbe37c6e6d4571d45/c.html,2025-01-18 19:12:16
Yangon's Chinatown to host festive market for Spring Festival celebration,https://english.news.cn/asiapacific/20250118/d5e8099f00054d638ad7318ecbfa164b/c.html,2025-01-18 18:49:45
"Asia steadily becomes global hub for R&D, innovation: report",https://english.news.cn/asiapacific/20250118/6944a3eb22a24cafba2e6fb0d9e1e102/c.html,2025-01-18 15:38:45
Thailand prepares to celebrate Chinese New Year with nationwide festivities,https://english.news.cn/asiapacific/20250118/0056167931f44f1f864d5f27823f26f4/c.html,2025-01-18 00:25:45
"China launches Pakistani satellite, two others",https://english.news.cn/asiapacific/20250117/6525e1ee6ec5426a97250a84a1b8ac88/c.html,2025-01-17 12:59:00
Chinese biotechnology supports Brunei's cervical cancer screening,https://english.news.cn/asiapacific/20250116/081423f033b24f4f84087cbdd7630e47/c.html,2025-01-16 22:36:00
2025 Indonesia-China Film Exhibition concludes in Indonesia's Jakarta,https://english.news.cn/asiapacific/20250116/eedf376415104f35b9e177895a1dbf9a/c.html,2025-01-16 17:10:45
3rd batch of 44 new freight wagons purchased from China arrives in Cambodia,https://english.news.cn/asiapacific/20250114/8282ec40638a432ab79e3921acf49286/c.html,2025-01-14 18:47:45
China Focus: China welcomes influx of Japanese tourists following visa-free policy,https://english.news.cn/asiapacific/20250114/e5974d284bff48958e22c4eacf4aeaec/c.html,2025-01-14 18:22:45
"China, UNICEF strengthen cooperation on Indonesia's free meal program",https://english.news.cn/asiapacific/20250114/5cfe434760444d1f8f3c7d21dc0e44f9/c.html,2025-01-14 17:18:16
Event welcoming Chinese New Year held in Pakistan,https://english.news.cn/asiapacific/20250112/4d56bb53870447bb818d7af07137155d/c.html,2025-01-12 22:30:30
"Chinese embassy in Thailand warns of ""high-paying recruitment"" trap",https://english.news.cn/asiapacific/20250111/fb43b039ef4240c39f63902368da4ad3/c.html,2025-01-11 13:40:31
Guest Opinion: BRI boosts socio-economic development in Cambodia and beyond,https://english.news.cn/asiapacific/20250109/bb9e95da18ba48109afb022a9751050d/c.html,2025-01-09 22:12:32
Indonesia stresses importance of ASEAN economic ties with China's Hong Kong,https://english.news.cn/asiapacific/20250109/c76d6dfad23e48699a0072af034a442d/c.html,2025-01-09 16:40:16
Pakistan to intensify efforts to promote Gulf-China trade via Gwadar,https://english.news.cn/asiapacific/20250109/12f4e65e93274353bb89df377538e686/c.html,2025-01-09 15:58:30
Event held in Mongolia to promote travel to China during Chinese New Year,https://english.news.cn/asiapacific/20250108/0084467d2cf140a993a2962cc1a9296a/c.html,2025-01-08 16:13:00
Delegation of Japan's ruling coalition to visit China,https://english.news.cn/asiapacific/20250107/f99e0d7669314402b0ec8f05f9e06355/c.html,2025-01-07 13:34:15
New Gwadar International Airport shining symbol of Pak-China friendship: Pakistani PM,https://english.news.cn/asiapacific/20241231/ecabce99dfc9484abe081fd9d2621265/c.html,2024-12-31 00:08:45
"Nearly 70 pct of Chinese firms in Singapore rate business climate as ""excellent"": survey",https://english.news.cn/asiapacific/20241230/18dbf25066bc4339af56ac4d6af9504b/c.html,2024-12-30 23:05:30
Upgraded China-Singapore FTA to boost business opportunities: Singaporean ministry,https://english.news.cn/asiapacific/20241230/8318f0baac424beeace7bde928672b41/c.html,2024-12-30 13:44:45
Spring Airlines resumes direct flights from China's Xi'an to Cambodia's capital,https://english.news.cn/asiapacific/20241229/483afa51ed1a44f59af63677ed6bf5bd/c.html,2024-12-29 22:16:45
"Chinese, Bangladeshi scholars discuss China-South Asia civilization, connectivity",https://english.news.cn/asiapacific/20241228/0737b9155dfa4bdda8cd6a31faceebed/c.html,2024-12-28 20:12:00
36 new flat wagons purchased from China arrives in Cambodia,https://english.news.cn/asiapacific/20241228/1cb56b4656844dedafadefbd4093e853/c.html,2024-12-28 15:10:15
Feature: How China's visa exemption policy is changing travel for Southeast Asians,https://english.news.cn/asiapacific/20241228/248a46a4752c42fd82883c0903f0f096/c.html,2024-12-28 14:34:15
"China-Kyrgyzstan-Uzbekistan railway project to boost regional transport, prosperity",https://english.news.cn/asiapacific/20241228/0370c46d24f34e7e879840e8a8929c1f/c.html,2024-12-28 13:00:15
Commencement ceremony of China-Kyrgyzstan-Uzbekistan railway project held in Kyrgyzstan,https://english.news.cn/asiapacific/20241227/6a6f582454934a6c81160d1871b13ea9/c.html,2024-12-27 19:44:15
All 9 Chinese nationals who went missing while diving in Palau rescued,https://english.news.cn/asiapacific/20241227/a4f4f198cbcf40e9858be6b1f02c5680/c.html,2024-12-27 19:34:15
China's Xiaomi dubbed Bangladesh's top mobile handset brand,https://english.news.cn/asiapacific/20241227/f27cab08af974a2e8c568ee6b5944e5c/c.html,2024-12-27 17:19:15
China Focus: Films forge stronger bonds between China and ASEAN,https://english.news.cn/asiapacific/20241227/7050d0f93d7040e58212e45d595ab67c/c.html,2024-12-27 15:03:00
Chinese foundation donates bicycles to Lao students,https://english.news.cn/asiapacific/20241226/636cd343ed0443fcbd7e2f43c6d2d8a6/c.html,2024-12-26 12:34:15
FLASH: CHINESE CONSULATE GENERAL IN AKTOBE CONFIRMS NO CHINESE ON BOARD THE CRASHED PLANE NEAR KAZAKHSTAN'S AKTAU,https://english.news.cn/asiapacific/20241225/5864a9583cad4e76bd54343652293a60/c.html,2024-12-25 16:21:45
Feature: China-built railway project fully operational in Bangladesh,https://english.news.cn/asiapacific/20241225/ef3b99210258445abf03e8134f686a7f/c.html,2024-12-25 15:36:30
"TCM diagnosis, treatment center inaugurated in Nepal's Kathmandu",https://english.news.cn/asiapacific/20241223/47a92fc7050b47e984ebb3d9dede42fd/c.html,2024-12-23 19:14:15
"Chinese charities donate bicycles, school bags to underprivileged students in Cambodia",https://english.news.cn/asiapacific/20241223/22d24bb3eeb14cf197bd46cd9550e9f3/c.html,2024-12-23 19:05:15
"China Focus: China, ASEAN boost vocational education for regional development",https://english.news.cn/asiapacific/20241222/c648fc00f92343f690fa2ae6fdc464b4/c.html,2024-12-22 16:52:00
"Feature: ""Finding a home away from home,"" Malacca heritage strengthens China-Malaysia ties",https://english.news.cn/asiapacific/20241222/47e9b2a2f7b741dbb23a1629199f5249/c.html,2024-12-22 14:15:30
"Timor-Leste, China agree to strengthen bilateral cooperation",https://english.news.cn/asiapacific/20241222/cc84fff981dd40d6990bbcc97f387f19/c.html,2024-12-22 10:51:15
China plays important role in South Asian countries' green transformation: scholars,https://english.news.cn/asiapacific/20241221/8f86af46fd6349f8a57aea548a9430ef/c.html,2024-12-20 23:30:15
"China provides Vanuatu with 100,000 USD in emergency humanitarian cash assistance",https://english.news.cn/asiapacific/20241220/e46cf21f52c449ec914c5de3ca549dfd/c.html,2024-12-20 20:55:46
"Indonesia, China collaborates in cultivating future skilled workers",https://english.news.cn/asiapacific/20241220/91c67b62e7f041d2b28ff0638560f3bb/c.html,2024-12-20 19:50:30
Vietnam's party general secretary To Lam meets Chinese defense minister,https://english.news.cn/asiapacific/20241220/4bfe026d06a943f3b856ff712fe0b002/c.html,2024-12-20 16:55:45
