title,link,date
"Interview: BRICS partnership opens up ""greater horizons"" for Egypt, says minister",https://english.news.cn/20250217/1d9b67888d4741719bb89ce26f77c148/c.html,2025-02-17 14:12:15
"Interview: China's efforts of regional cooperation in combating cross-border telecom fraud ""encouraging"": UN official",https://english.news.cn/20250217/7cd23021581d487bbfc50463e32ef432/c.html,2025-02-17 12:36:45
"Interview: Business talks between Chinese, Kazakh entrepreneurs yield fruitful results, says Kazakh official",https://english.news.cn/20250217/da34489470514eb0bc24c1b0ac752e7d/c.html,2025-02-17 10:09:45
Explainer: How to understand Chinese FM's citation from martial arts quotation in Munich,https://english.news.cn/20250216/5256cf5d26434807b4351ec634e641f6/c.html,2025-02-16 20:36:46
Economic Watch: Rise of immersive VR industry drives vitality of China's cultural consumption market,https://english.news.cn/20250216/0e24b4b2e7934160883c3080f060fd8a/c.html,2025-02-16 09:22:45
Economic Watch: Central Chinese city of Zhengzhou emerges as key NEV hub,https://english.news.cn/20250216/6a85d6891f0f47ff9351cb1c91361365/c.html,2025-02-16 09:00:00
Xinhua Commentary: An equal and orderly multipolar world is the right path forward,https://english.news.cn/20250214/103dfcab3a7b48de891362f180df7bb2/c.html,2025-02-14 17:42:45
"Xinhua Commentary: Collaboration, consensus key to inclusive AI",https://english.news.cn/20250214/4292d833e0b74329afd15beb16741183/c.html,2025-02-14 14:59:00
"Xinhua Commentary: Success of ""Ne Zha 2"" spotlights appeal, prowess, creativity of Chinese culture",https://english.news.cn/20250213/264f7196aaa54fbeb3be0ab043ea0a90/c.html,2025-02-13 20:03:30
Economic Watch: Passion for ice-and-snow sports ignites growth in China's gear industry,https://english.news.cn/20250213/db8f3db1ae0240f980d0a6b47016cfb6/c.html,2025-02-13 13:45:30
Feature: Chinese-American philanthropist Angela Chen honored for bridging cultures,https://english.news.cn/20250213/28b4374f1b29475ebc63641c981586f4/c.html,2025-02-13 07:00:00
Xinhua Commentary: China remains appealing to foreign investors,https://english.news.cn/20250212/d5998d96dbfc43469a459ee1a0aa7f34/c.html,2025-02-12 20:29:00
Feature: Tropical nations' skaters weight more at Asian Winter Games,https://english.news.cn/20250210/1ec9b27aa629490dabab53fdd605fb6b/c.html,2025-02-10 22:06:15
"Interview: Europe should strengthen economic ties with China as U.S. tariffs raise trade tensions, says German business leader",https://english.news.cn/20250210/3d5d3d67bb56415d87fe7fc4069959f3/c.html,2025-02-10 19:28:31
"Feature: Indian skater defies age, defines legacy at Winter Asiad",https://english.news.cn/20250210/a32a6691ee2448d59ec22af5658be51b/c.html,2025-02-10 16:36:15
"Feature: Lebanese ski mountaineer glides into dream of blue skies, white snow",https://english.news.cn/20250209/523e2bf11d724de09604a1da26c69882/c.html,2025-02-09 21:54:15
"News Analysis: Leadership elections, reparations on top of upcoming AU summit agenda",https://english.news.cn/20250207/610f599bf2584f318932dfcf93b860d2/c.html,2025-02-07 22:03:30
Xinhua Commentary: The Spring Festival: A global gateway to understanding China,https://english.news.cn/20250207/a505c2bf5f924e84a3f5867131dd8969/c.html,2025-02-07 14:58:45
Interview: Mercedes F1 boss hails China as key market,https://english.news.cn/20250207/138084b19c46494d8c6a306ea97f132e/c.html,2025-02-07 10:06:15
World Insights: Trump's Gaza takeover proposal threatens two-state solution,https://english.news.cn/20250206/3420db7d6f604aedb554c03cc780cd5a/c.html,2025-02-06 21:00:45
Explainer: How the world reacts to Trump's Gaza takeover proposal,https://english.news.cn/20250206/425137d77c01401eadc19f64e0675837/c.html,2025-02-06 18:30:45
"Interview: Looking forward to more fruitful cooperation between Thailand, China, says Thai expert",https://english.news.cn/20250206/b394c466daf14d72915e766725217c82/c.html,2025-02-06 10:40:31
"(China Economic Roundtable) Chinese post growing interest in ice, snow fun as life gets better: experts",https://english.news.cn/20250205/668a722de9df4487a70062db384cbf46/c.html,2025-02-05 14:23:15
"Guest Opinion: Spring Festival, living cultural heritage for humanity",https://english.news.cn/20250205/1ed649393bcc443698c7466c0d170d2c/c.html,2025-02-05 09:56:45
"Interview: Kyrgyz president expects Chinese modernization to bring new opportunities for Kyrgyzstan, Central Asia",https://english.news.cn/20250204/f6947505ccba48c38a9fef9dbe2eb40b/c.html,2025-02-04 16:15:00
"Interview: Chinese New Year becomes worldwide celebrated festival, says Croatian sinologist",https://english.news.cn/20250202/f160a27d4cbf47dcb3d506a9752b9199/c.html,2025-02-02 21:32:15
Xinhua Headlines: Foreigners savor flavors of Spring Festival in China,https://english.news.cn/20250131/dae9fbecaa60466db5f89eb2573e2d12/c.html,2025-01-31 21:54:47
World Insights: How the world unites with the spirit of Chinese New Year,https://english.news.cn/20250131/7b638840ea3947938d3fc23051f2356a/c.html,2025-01-31 20:59:45
Explainer: Why is Chinese AI startup DeepSeek stirring up the tech world?,https://english.news.cn/20250131/bd00567fb2d24a5f870db60a686be339/c.html,2025-01-31 17:01:15
Explainer: How do Chinese people celebrate Spring Festival?,https://english.news.cn/20250128/9398ef834b294c9289e783428c7f9b44/c.html,2025-01-28 19:21:45
Guest Opinion: China's Spring Festival -- a UNESCO Intangible Cultural Heritage and a means of cultural exchange,https://english.news.cn/20250128/b09cb52a74824f568575334a7e7abead/c.html,2025-01-28 16:55:15
Xinhua Commentary: Local to-do lists underscore China's economic vitality,https://english.news.cn/20250127/0e49a343be714354ab24575ff44bab39/c.html,2025-01-27 14:03:00
"Interview: China's Xinjiang deserves more global media appreciation, says Slovak news portal founder",https://english.news.cn/20250125/97ab345465424a6cab925be30af136fe/c.html,2025-01-25 20:16:00
Guest Opinion: Greater space for China-UK cooperation,https://english.news.cn/20250123/cfb61e9e72824fca9f0a97451945b206/c.html,2025-01-23 17:47:00
Interview: McKinsey regional chief says confident in Chinese economy,https://english.news.cn/20250122/4b513655f3364b15bbb685fb95b7c25a/c.html,2025-01-22 11:28:15
Interview: China makes positive contributions to AI global governance -- senior WEF official,https://english.news.cn/20250121/161ba250925e4103a08a475ad9f65ab1/c.html,2025-01-21 13:20:00
Xinhua Headlines: Davos calls for collaboration to address global challenges in intelligent age,https://english.news.cn/20250120/481b79a2ba2641dd83ee4d26a5ffd030/c.html,2025-01-20 18:54:46
Xinhua Commentary: Keep China-U.S. relationship sailing in right direction,https://english.news.cn/20250120/d12d24312bb04d95902c6c6104b0839b/c.html,2025-01-20 12:14:45
Feature: Budapest's Chinatown comes alive with colorful Spring Festival celebrations,https://english.news.cn/20250120/be6de097faee4ff7a1d429c4a511308a/c.html,2025-01-20 07:25:15
Xinhua Headlines: Chinese fireworks add festive cheer to global New Year celebrations,https://english.news.cn/20250119/3890c722ca2842859853ec16c618f8ae/c.html,2025-01-19 21:27:31
"Xinhua Commentary: Steer China-EU relations toward shared growth, global stability",https://english.news.cn/20250117/3b1b93f373214399afd524195ef0b7fc/c.html,2025-01-17 18:18:00
"Guest Opinion: Three years on, RCEP testifies to power of economic integration for shared prosperity",https://english.news.cn/20250114/58c3ff41bd8e400ea1b0b30337ccc8c7/c.html,2025-01-14 14:23:00
Interview: China remains a core part of U.S. companies' strategy: AmCham Shanghai president,https://english.news.cn/20250109/5636ad5488e04e119f2a5793988d30a7/c.html,2025-01-09 20:37:30
"Xinhua Commentary: National security a fig leaf to disguise U.S. economic coercion, bullying",https://english.news.cn/20250108/e624b34c8d1b4a42b06ba4c6083e6ec1/c.html,2025-01-08 19:45:00
"Interview: China's modernization offers lessons for Global South countries, says Algerian expert",https://english.news.cn/20250108/8c713fe78e5744078c028bf6feb9708e/c.html,2025-01-08 10:13:00
"Guest Opinion: Xinjiang, a rising star along the Belt and Road",https://english.news.cn/20250107/522ac67205fa413c898679912e605abe/c.html,2025-01-07 16:15:30
Xinhua Commentary: China-Africa cooperation sets stellar example for advancing shared prosperity,https://english.news.cn/20250107/7d51918b359943e3b6a73809b99df310/c.html,2025-01-07 00:17:00
Explainer: What's behind Trudeau's likely resignation as party leader,https://english.news.cn/20250106/55e0768fc88649fc97083ec90f41372b/c.html,2025-01-06 22:12:15
News Analysis: Why maintaining good China-U.S. economic ties is shared expectation?,https://english.news.cn/20250106/1718011cd634410b9e86d9c5b0eb8bd1/c.html,2025-01-06 20:41:30
"Interview: China plays vital role in promoting shared development, says Indonesian expert",https://english.news.cn/20250106/29c24e9324984cb5b223ca94b5e5860d/c.html,2025-01-06 15:20:00
"Interview: Bold initiatives needed to revive U.S.-China relationship, says expert",https://english.news.cn/20250105/703aed1435124e71a5ddc9ae1645691a/c.html,2025-01-05 14:14:30
China Focus: Rural China tackles hefty bride prices to ease marriage burdens,https://english.news.cn/20250104/fd3f502f10cb4a56b4f4da3e62bdfa7b/c.html,2025-01-04 15:33:00
"Interview: BiH official hopes for more ""Walter"" figures to strengthen bond with China",https://english.news.cn/20250104/dccf9757253247a7a53f779b0dc5afd6/c.html,2025-01-04 15:07:00
Commentary: Tesla's China operations demonstrate potential of win-win cooperation,https://english.news.cn/20250103/2cd83ff0ef5f48e090c532d888c77975/c.html,2025-01-03 19:53:15
Interview: Chinese tennis veteran Zhang Shuai reflects on her journey with pride,https://english.news.cn/20250103/a867d516da3040da851e042c34d08b95/c.html,2025-01-03 17:18:00
"World Insights: Australian experts hail RCEP's contribution to development, cooperation",https://english.news.cn/20250103/728d2a8dc1e543dbb4278d2fa6f53822/c.html,2025-01-03 17:08:00
Guest Opinion: Xinjiang deserves to be seen with open eyes,https://english.news.cn/20250102/7f6328d54c4e49b7aaa2c2e979ff80f7/c.html,2025-01-02 15:45:45
Xinhua Commentary: Carry on Carter's legacy for better China-U.S. ties,https://english.news.cn/20250101/bb9b6d05054e492d9a9202e786c8b0d7/c.html,2025-01-01 16:42:30
Explainer: What drives rapid rise of Global South in 2024?,https://english.news.cn/20241231/78b42796d6cd4a2ab09088cb7b8597bb/c.html,2024-12-31 21:28:15
Explainer: China's economic to-do list for 2025 -- takeaways you should not miss,https://english.news.cn/20241231/ea283e1b98d64d928a0cfa3427fc7e9c/c.html,2024-12-31 21:06:00
"Xinhua Commentary: Remember Jimmy Carter, cherish his legacy",https://english.news.cn/20241231/8c33052b3d6a4fde8bfd807afb1cdb9a/c.html,2024-12-31 20:13:32
"Guest Opinion: Chinese modernization transforms China, benefits world",https://english.news.cn/20241230/ad525bcefec24078b14b7287c159ef3f/c.html,2024-12-30 16:39:45
Xinhua Headlines: Xinhua's top 10 world news events in 2024,https://english.news.cn/20241230/d6876d44c11b4d63b3821c1de5689523/c.html,2024-12-30 15:46:30
Xinhua Headlines: Top 10 China news events of 2024,https://english.news.cn/20241229/638c6e45eea34637bddac0370e6fd653/c.html,2024-12-29 22:22:17
Xinhua Commentary: People's aspiration for Sino-U.S. friendship can not be denied,https://english.news.cn/20241228/29b57bfc7b764c8fb48f024e4918ecf7/c.html,2024-12-28 17:08:45
"Interview: China a driver of BMW's innovation, e-mobility, says CEO",https://english.news.cn/20241227/f303d3a3923e4f0bbbe9ed40cf49dd77/c.html,2024-12-27 21:36:45
"Guest Opinion: A boost, not a shock: China partnering with fellow developing countries for economic takeoff",https://english.news.cn/20241227/76912843e91e4c3cbb6970078a64633a/c.html,2024-12-27 18:43:45
"Guest Opinion: ""Supply chain warfare"" -- a thief-crying-stop-thief stunt",https://english.news.cn/20241226/a4606f2646d24e14b41fad1660d343a7/c.html,2024-12-26 20:08:15
"Interview: China's Belt and Road Initiative offers ""win-win solutions"" to nations, says Turkish expert",https://english.news.cn/20241225/1fa2e0bac4d7463fbd3a79bafbbc92dd/c.html,2024-12-25 14:22:45
Xinhua Commentary: A protectionist Washington detrimental to global free trade,https://english.news.cn/20241224/5c837947ee5d487b8649d8274f39fb6a/c.html,2024-12-24 20:05:15
"Interview: U.S. intervention leads to long-term economic stagnation in Panama, says expert",https://english.news.cn/20241224/4739b71c9338489c981ac82e54c6183a/c.html,2024-12-24 14:57:00
Feature: Chinese-built bridge project progresses as scheduled in Tunisia,https://english.news.cn/20241224/375501cb996243b090263fc111c13d5e/c.html,2024-12-24 07:47:45
Xinhua Commentary: Whose interests does record-high U.S. defense budget serve?,https://english.news.cn/20241222/4027ad82d4124b26bcbb0508169d64f5/c.html,2024-12-22 17:27:30
"Interview: Xinjiang's development integrates tradition, modernity, says Uruguayan observer",https://english.news.cn/20241221/29743cda10d9407891c23e05c0bf30d5/c.html,2024-12-21 22:29:15
Column: Jointly striving for a world of shared prosperity,https://english.news.cn/20241220/b7aea6f5e59d4612b739ebc53ef5f0d7/c.html,2024-12-20 16:53:45
Guest Opinion: Promoting harmony and integration -- China's efforts to create a modern Xinjiang,https://english.news.cn/20241219/a30a8eed6d5748d78a1dcc9822d0feb1/c.html,2024-12-19 20:19:00
"Letter from Mideast: Fear, relief and dream -- An eyewitness account of Syria's upheaval",https://english.news.cn/20241219/37cafe27d90a4caf89c2988048c3bd7e/c.html,2024-12-19 20:17:30
"Economic Watch: U.S. Fed slashes rates, fewer cuts expected next year",https://english.news.cn/20241219/a89823d83e7246fe9803704e74ac2b3f/c.html,2024-12-19 15:45:01
Interview: OECD expert says China remains largest contributor to global growth,https://english.news.cn/20241219/f0064f3e996e4103b19be85cfe769460/c.html,2024-12-19 10:08:45
World Insights: U.S. tech moguls kiss ring of power by donating millions to Trump's inauguration,https://english.news.cn/20241217/085db35514714b4fbc3be1a49cc03841/c.html,2024-12-17 13:05:15
"Guest Opinion: Join hands to promote media cooperation, combat disinformation",https://english.news.cn/20241216/7ac9eacef2f84779af6e0e0d0e9883c4/c.html,2024-12-16 16:35:30
Xinhua Commentary: China's pro-growth policies deliver comfort in turbulent world,https://english.news.cn/20241215/7af275b62396426981675e7f626b0911/c.html,2024-12-15 16:21:00
"Interview: Belt and Road Initiative boosts economic potential of countries involved, says Russian expert",https://english.news.cn/20241212/5d254773d148468cb634166221a20129/c.html,2024-12-12 14:52:15
"Interview: China leads global desertification fight with science-policy interface, says UNEP Earth champion",https://english.news.cn/20241212/7f97728448274b67a35a357dd126071b/c.html,2024-12-12 11:23:45
Xinhua Commentary: The truth about Xinjiang cotton and tomatoes has always been crystal clear,https://english.news.cn/20241211/876cf77ba2f54769a753e36bc12b701a/c.html,2024-12-11 21:23:31
Feature: Ethiopian tour guides embrace Chinese language to harness China's outbound tourism market,https://english.news.cn/20241208/e7dc268d7baa40ef9a4a5831bf3319be/c.html,2024-12-08 21:01:00
"Interview: Belt and Road Initiative brings unprecedented development opportunities to Kenya, says expert",https://english.news.cn/20241205/0e32ede261674c0080aa86ff1ec2e800/c.html,2024-12-05 13:23:15
Xinhua Commentary: U.S. tech suppression of China also stifles American prospects,https://english.news.cn/20241204/7f75901f570c4cfb81583ae29db3d22e/c.html,2024-12-04 21:28:15
"Interview: Chinese modernization benefits Egypt, world -- former Egyptian PM",https://english.news.cn/20241204/3ed655ecc79a4ecab3ee33ba21ab8de8/c.html,2024-12-04 21:12:30
Xinhua Commentary: How China energizes global poverty fight,https://english.news.cn/20241204/4728aaa7518a4a6b9cef2fbaa6ddcac8/c.html,2024-12-04 21:04:15
"Interview: BRI plays key role in driving economic development in participating countries, says expert",https://english.news.cn/20241203/a87715b3934f43cd99d1193b1d2a879c/c.html,2024-12-03 10:12:45
Xinhua Headlines: Visa policy eases boost China Travel and beyond,https://english.news.cn/20241201/aa6a214a2fc7405089c9b1037110eb77/c.html,2024-12-01 22:24:32
World Insights: Multinational companies optimistic about win-win cooperation with China in advanced manufacturing,https://english.news.cn/20241130/3d3e3dcd56394a9e844283a1dc6a235d/c.html,2024-11-30 13:07:30
"Interview: China ""winning big"" in tech sector, says industry expert",https://english.news.cn/20241130/67c6a204ee35452484e345a0d2f7f9e4/c.html,2024-11-30 12:01:00
Interview: China offers exciting potential for Swiss chocolate brands: manufacturers association,https://english.news.cn/20241128/dd0f822e281c42088dc860fc79465950/c.html,2024-11-28 10:49:00
Feature: Panasonic executive reflects on founder's vision and success in China,https://english.news.cn/20241127/c0c40c98bd0b420cb6947c3c15f9f72c/c.html,2024-11-27 21:01:30
Xinhua Commentary: China's drive propels G20 cooperation on boosting global development,https://english.news.cn/20241125/f93a6227759a47fc837d348a8b5245b5/c.html,2024-11-25 21:47:31
Economic Watch: Fridge magnet craze showcases China's vibrant cultural consumption,https://english.news.cn/20241125/3ea0e2d9fb1a4350980ea2335075cd64/c.html,2024-11-25 18:53:00
"World Insight: Germany's dual training turns to AI, digitalization amid worker shortage",https://english.news.cn/20241123/f98d8253d3db40df825182f09c6ee010/c.html,2024-11-23 11:08:00
Guest Opinion: A towering pillar built by BRICS,https://english.news.cn/20241122/fcd9cf6647604e8f896e946024af4cae/c.html,2024-11-22 16:22:00
Xinhua Commentary: Chinese economy progressing well in pursuit of 2024 targets,https://english.news.cn/20241121/497217bd8de3495a83d46bfd55eaccb2/c.html,2024-11-21 21:30:45
"Interview: China holds consistent position on safeguarding interests of developing countries, says Zambian expert",https://english.news.cn/20241121/dd4ba9ed827940daabad9aacdfee875c/c.html,2024-11-21 16:25:00
"Guest Opinion: China a key contributor to building world of peace, security, common development",https://english.news.cn/20241120/9ac893eb7fed4291b6e6e0fb00c18b61/c.html,2024-11-20 14:09:00
Interview: China contributes to opening up world economy -- Zambian think tank chief,https://english.news.cn/20241119/5ac14309dec1416ea268281e399f22ea/c.html,2024-11-19 14:47:31
"Interview: China's tech innovation accelerating ""faster"" than ever, says Web Summit CEO",https://english.news.cn/20241118/03a0882602e44af6b1dba1c7a64cd0b6/c.html,2024-11-18 13:55:16
Guest Opinion: AU's entry into G20 a catalyst for Global South's rise,https://english.news.cn/20241117/4160715e274c4a1fac76819a7b9bfe81/c.html,2024-11-17 15:07:45
"Xinhua Commentary: Asia-Pacific must defend unity, openness amid rising global uncertainty",https://english.news.cn/20241115/907aaef38f5b49c7a48ee4158aa323c2/c.html,2024-11-15 13:30:45
Guest Opinion: China's Belt and Road Initiative catalyses global development,https://english.news.cn/20241114/5f3e065e366d45859ba26cf7a23d9e60/c.html,2024-11-14 12:05:45
Xinhua Commentary: Chinese modernization fosters new model for human advancement,https://english.news.cn/20241113/e3cb666b21e24995a9827569407158ad/c.html,2024-11-13 13:59:00
"Interview: China's highly effective vocational education, training system can serve as valuable model for Cambodia, says senior official",https://english.news.cn/20241113/0f6e8fbf66f749b5b9d92bbe9fec2486/c.html,2024-11-13 12:00:45
Guest Opinion: Strengthening Asia-Pacific cooperation for global economic growth,https://english.news.cn/20241112/99896c1841a245a4887afa9466238d55/c.html,2024-11-12 13:48:30
"Interview: China remains one of Bayern's most important markets, says club official",https://english.news.cn/20241112/e4691e0bfb31416c95d74a9bbedb084b/c.html,2024-11-12 08:43:15
"Interview: Sister mountain partnership boosts tourism between Switzerland, China, says Swiss industry insider",https://english.news.cn/20241111/5ecf0462292140e7bfc4955ef9ee4876/c.html,2024-11-11 13:20:31
(CIIE) Invest in China: IKEA set for dynamic styles of Chinese home furnishing market,https://english.news.cn/20241110/f23acccd5b6c46cbaf3c51fe6160f122/c.html,2024-11-10 16:35:45
Economic Watch: CIIE offers global platform for sharing China's development opportunities,https://english.news.cn/20241110/320d5fe185094b4db1149502493b435a/c.html,2024-11-10 15:55:02
Guest Opinion: BRICS leads quest for more just international financial system,https://english.news.cn/20241109/1f66b6c3059f445489f5bab99650817b/c.html,2024-11-09 15:34:00
