title,link,date
Hamas says ready to implement next phases of Gaza truce deal,https://english.news.cn/20250219/12ba2c213084477d8aa58cb37722239e/c.html,2025-02-19 04:31:45
UAE welcomes Saudi-hosted Russia-U.S. talks on Ukraine crisis,https://english.news.cn/20250219/f81e5ec4549c4f48a182c48a4101d2e9/c.html,2025-02-19 03:40:00
Researchers discover two types of scars formed in heart disease,https://english.news.cn/20250219/e2bd5695791647a5892246661174eb1d/c.html,2025-02-19 03:10:30
"Iran's supreme leader says U.S. ""foolish"" plans for Gaza to lead nowhere",https://english.news.cn/20250219/d3549cee11ce417986b8d690750f9ece/c.html,2025-02-19 02:24:30
Oman LNG signs 10-yr gas supply deal with Swiss trader Mercuria,https://english.news.cn/20250219/05a5c427b5a8431ba56ca0bd4bc77eae/c.html,2025-02-19 01:53:00
Israeli researchers find antibiotic-free way to protect lab-grown meat,https://english.news.cn/20250219/5e79281f8ada4b7999762d0b161780b8/c.html,2025-02-19 01:47:45
Israeli defense firm develops advanced operating system for unmanned military platforms,https://english.news.cn/20250218/105ca3b210064e89b57cbbf43b11a397/c.html,2025-02-18 23:52:15
Iran launches large-scale military drill,https://english.news.cn/20250218/56b6a49948544a42a3e90140abc78b8c/c.html,2025-02-18 23:25:45
Qatar says negotiations on 2nd phase of Gaza ceasefire yet to begin,https://english.news.cn/20250218/e6c2f855f03b40b9bf51127326865ce5/c.html,2025-02-18 23:25:00
Hamas agrees to release 6 hostages on Saturday,https://english.news.cn/20250218/cf9832fcb08440aba90db3c17a77a7ff/c.html,2025-02-18 22:59:30
"U.S., Russia agree to appoint negotiating teams for further consultations on Ukraine",https://english.news.cn/20250218/f41f2ef1d4584ad7bc08c86d194ff31b/c.html,2025-02-18 22:31:15
Israel allows heavy equipment to enter Gaza: sources,https://english.news.cn/20250218/03825f6029e848b0a9201edd84578c90/c.html,2025-02-18 21:57:45
Egypt delays emergency Arab summit on Palestinian issue to March 4,https://english.news.cn/20250218/64ea43035f81459ba88f5af2bc2fe1fa/c.html,2025-02-18 21:38:45
"Israel withdraws from southern Lebanon, retains 5 military positions",https://english.news.cn/20250218/278d4ea4b81d44b6ba1e44d7e14bfb3b/c.html,2025-02-18 21:33:00
Conditions not ready for removing Syria's HTS from UN sanctions: spokesperson,https://english.news.cn/20250218/087b309bef434e028be58e0f1219683b/c.html,2025-02-18 20:57:45
"U.S., Russia delegations meet in Saudi capital Riyadh: media",https://english.news.cn/20250218/9bc8e7a3a37d4e75bde28a9f93712ff9/c.html,2025-02-18 15:55:45
"Iran, Sudan aim to promote bilateral, regional cooperation",https://english.news.cn/20250218/9b2cdf098f8541c2a629ea0a37ff351c/c.html,2025-02-18 14:15:45
Int'l defense exhibition opens in UAE,https://english.news.cn/20250218/1827d421b70c4d179c91680c46efcf5d/c.html,2025-02-18 11:00:15
Lebanon extends suspension of flights to and from Iran,https://english.news.cn/20250218/ccdea4e8be3b4584bd77e3d6c8d73ccd/c.html,2025-02-18 04:14:15
"Israel establishes new body for ""voluntary departure"" of Gaza's Palestinian population",https://english.news.cn/20250218/c9615cbc87164d2799944d42290ff5e0/c.html,2025-02-18 04:17:45
"Arab interior ministers council approves plans to combat drugs, IT crimes",https://english.news.cn/20250218/cf3585248e1f4e6081aedce226bbf5bb/c.html,2025-02-18 04:55:30
"Lebanon approves ministerial statement stressing ""exclusive state control"" over arms",https://english.news.cn/20250218/c6000900c5fe40a29f3f8f1a485e67bd/c.html,2025-02-18 04:01:00
Humanitarian needs in Gaza overwhelming: UN,https://english.news.cn/20250218/e2826dc9305749919382e462cd93723a/c.html,2025-02-18 03:55:00
Ukrainian president arrives in Türkiye for talks with Erdogan,https://english.news.cn/20250218/9407f82725a4430aa7a49ba723ffd1d9/c.html,2025-02-18 03:40:45
"Urgent: Israel establishes new body for ""voluntary departure"" of Gaza's Palestinian population",https://english.news.cn/20250218/a9bc05e83ba64a26a8708f8717d2f017/c.html,2025-02-18 03:19:15
"U.S. Secretary of State in Riyadh for talks on Trump's controversial Gaza plan, Ukraine",https://english.news.cn/20250218/633b38b8a2024bb8b5fdccb70a033e7e/c.html,2025-02-18 03:33:45
"Jordan inks 65-mln-USD deals with Kuwait to fund education, infrastructure",https://english.news.cn/20250218/e750859e85634d1ca4c3db2ca9c74b81/c.html,2025-02-18 01:35:00
Explosion rocks Syria's central city of Hama: war monitor,https://english.news.cn/20250218/c1d80205c39b4d8890cf27791d3195d2/c.html,2025-02-18 00:53:00
"UAE, Ukraine sign bilateral trade deal",https://english.news.cn/20250218/6530a44aee16425daee42e7b8de8b1db/c.html,2025-02-18 00:29:30
Türkiye cracks down on deadly bootleg booze,https://english.news.cn/20250218/1b90e59b0f5d4b7b9ab4ffed3270f4b4/c.html,2025-02-18 00:27:15
Dubai sees 31 pct increase in Chinese tourists in 2024,https://english.news.cn/20250218/e8dbc2f95860404f97a59430858b63f5/c.html,2025-02-18 00:26:45
Urgent: Explosion rocks Syria's central city of Hama: monitor,https://english.news.cn/20250218/556cda15991140e3a07f43c6521d6d65/c.html,2025-02-18 00:16:00
Feature: Lebanon's ski season faces uncertainty amid climate and economic challenges,https://english.news.cn/20250217/7c41447b8115482ea6653d337529b81a/c.html,2025-02-17 23:46:45
Researchers discover new subtypes of fat cells in human body,https://english.news.cn/20250217/6e1dd516cec84ef2b8c77920f0297ac0/c.html,2025-02-17 23:11:30
Israel to maintain troops at 5 posts in Lebanon beyond withdrawal deadline: official,https://english.news.cn/20250217/ed4d9fc8e3e94b529a5cab53d88b8b8e/c.html,2025-02-17 22:52:15
Turkish police detain 17 physicians over links to failed coup,https://english.news.cn/20250217/9a7c0611e3e94cbd9daadf8ea21c9ea9/c.html,2025-02-17 22:47:45
Lebanese president expresses concern over Israel's full withdrawal,https://english.news.cn/20250217/afca4277f52d4e0db6ef59492344ddb4/c.html,2025-02-17 22:05:15
Israel's GDP growth declines to 1 pct in 2024,https://english.news.cn/20250217/b32c2205d0384e3685f160746cfa4eac/c.html,2025-02-17 21:36:30
Netanyahu rules out Palestinian Authority's rule in post-war Gaza,https://english.news.cn/20250217/f6ebe54cc14945439150bf4be7c40cb8/c.html,2025-02-17 20:54:45
Israel confirms killing Hamas military official in Lebanon,https://english.news.cn/20250217/f6e42f7d74b340e6b61bb7e119d5fd54/c.html,2025-02-17 19:54:30
"Israeli airstrike targets vehicle in southern Lebanon, killing 1",https://english.news.cn/20250217/e288f398c84e4b00b73750dec53e5ab1/c.html,2025-02-17 19:17:16
170 couples marry in mass ceremony in Afghanistan's Samangan,https://english.news.cn/20250217/d459f1140fd74ad9abf2c5d61210a649/c.html,2025-02-17 18:55:15
"Palestinian, French presidents reaffirm support for two-state solution over phone",https://english.news.cn/20250217/ace01a7a4e3e43c2a881097c9583119e/c.html,2025-02-17 04:58:00
"Hamas accuses Israel of blocking patients' evacuation, worsening oxygen shortage",https://english.news.cn/20250217/4ed8798d103b4783ad65886d2a8b7672/c.html,2025-02-17 05:00:15
8th Indian Ocean Conference kicks off in Oman,https://english.news.cn/20250217/cefaa754c5ed43158214f588a71ce752/c.html,2025-02-17 04:31:15
"Egypt, Jordan call for Gaza's immediate reconstruction, reject Palestinian displacement",https://english.news.cn/20250217/906dd41e1a3943c2ac68ac0b5c94b6f1/c.html,2025-02-17 04:02:30
Hezbollah Leader demands full Israeli withdrawal from Lebanon by Feb. 18,https://english.news.cn/20250217/471cb18178d64f9fbc732acdf73c95d1/c.html,2025-02-17 03:43:00
"Iran roundly rejects ""baseless"" accusations by G7",https://english.news.cn/20250217/5cd9e9b516674d01be3da81f5e6bfcd7/c.html,2025-02-17 03:33:45
Israel strikes Hezbollah sites in Lebanon,https://english.news.cn/20250217/83c3cda4eb33488289be423479d2b9bc/c.html,2025-02-17 03:03:30
"Jordan king reiterates rejection of Palestinian displacement in Gaza, West Bank",https://english.news.cn/20250217/9cc1dd0627764cf092db10c1d96218a9/c.html,2025-02-17 02:30:00
