title,link,date
9th Asian Winter Games,https://english.news.cn/special/harbin2025/index.html,2025-02-06 10:56:27
Spring Festival 2025,https://english.news.cn/special/springfestival2025/index.html,2025-01-27 08:24:13
I Witness China,https://english.news.cn/special/wyksj/index.html,2025-01-20 09:51:42
Yearender 2024,https://english.news.cn/special/2024yearender/index.html,2024-12-23 13:43:44
25th Anniversary of Macao's Return to Motherland,https://english.news.cn/special/macao25/index.html,2024-12-03 19:17:02
"Xi attends APEC meeting, G20 Summit, visits Peru, Brazil",https://english.news.cn/special/202411xjp/index.html,2024-11-09 14:42:40
The 7th China International Import Expo,https://english.news.cn/special/2024ciie/index.html,2024-11-02 09:42:50
"Xi attends 16th BRICS Summit in Kazan, Russia",https://english.news.cn/special/202410xjp/index.html,2024-10-22 07:06:33
6th World Media Summit,https://english.news.cn/special/2024wms/,2024-10-13 08:34:33
2024 China International Fair for Trade in Services ,https://english.news.cn/special/2024ciftis/index.html,2024-09-12 14:31:56
2024 Summit of the Forum on China-Africa Cooperation,https://english.news.cn/special/2024focac/index.html,2024-08-29 12:07:22
Olympic Games Paris 2024,https://english.news.cn/special/Paris2024/index.html,2024-07-26 07:15:19
Third Plenary Session of 20th CPC Central Committee,https://english.news.cn/special/2024szqh/index.html,2024-07-15 12:21:33
"Xi attends SCO summit, pays state visits to Kazakhstan, Tajikistan",https://english.news.cn/special/202407xjp/index.html,2024-07-01 15:29:52
2024 Summer Davos,https://english.news.cn/special/2024dawosi/index.html,2024-06-25 09:40:44
"Xi pays state visits to France, Serbia, Hungary",https://english.news.cn/special/202405xjp/index.html,2024-04-29 16:07:50
Boao Forum for Asia Annual Conference 2024,https://english.news.cn/special/2024boao/index.html,2024-03-25 17:30:00
NPC & CPPCC Annual Sessions 2024,https://english.news.cn/special/2024lh/,2024-03-03 08:03:58
Spring Festival 2024,https://english.news.cn/special/springfestival2024/index.html,2024-02-05 07:51:16
Yearender 2023,https://english.news.cn/special/2023yearender/index.html,2023-12-25 07:34:47
Xi pays state visit to Vietnam,https://english.news.cn/special/202312xjp/index.html,2023-12-12 13:10:35
UN Climate Change Conference COP28 ,https://english.news.cn/special/2023cop28/index.html,2023-12-04 09:02:37
5th World Media Summit,https://english.news.cn/special/2023wms/index.html,2023-12-02 08:43:26
"Xi attends China-U.S. summit, 30th APEC Economic Leaders' Meeting in U.S.",https://english.news.cn/special/2023apec/index.html,2023-11-14 19:42:52
The Sixth China International Import Expo,https://english.news.cn/special/2023ciie/index.html,2023-11-03 11:25:15
The Third Belt and Road Forum for International Cooperation,https://english.news.cn/special/2023BRF/index.html,2023-10-14 21:59:25
19th Asian Games,https://english.news.cn/special/19thasiangames/index.htm,2023-09-19 10:48:24
2023 China International Fair for Trade in Services ,https://english.news.cn/special/2023ciftis/index.htm,2023-09-01 14:33:48
"Xi attends 15th BRICS Summit, visits South Africa",https://english.news.cn/special/2023BRICSsummit/index.html,2023-08-21 14:51:56
6th BRICS Media Forum,https://english.news.cn/special/dljjzgjmtgdlt/index.html,2023-08-20 07:33:29
10th Anniversary of Belt and Road Initiative,https://english.news.cn/special/ydylljl/index.html,2023-08-09 14:24:22
31st Summer Edition of FISU World University Games,https://english.news.cn/special/2023cddyh/index.htm,2023-07-26 20:03:16
2023 Summer Davos,http://english.news.cn/special/2023dawosi/index.htm,2023-06-27 10:27:45
China-Central Asia Summit,https://english.news.cn/special/zgzyfh/index.html,2023-05-16 16:05:23
Tianjin Charm,https://english.news.cn/special/jczg/index.html,2023-04-03 16:49:27
Boao Forum for Asia Annual Conference 2023,https://english.news.cn/special/2023boao/index.html,2023-03-28 09:05:23
Chinese president pays state visit to Russia,https://english.news.cn/special/202303xjp/index.html,2023-03-20 18:04:55
NPC & CPPCC Annual Sessions 2023,http://english.news.cn/special/2023lh/index.html,2023-03-03 08:28:52
Spring Festival 2023,http://english.news.cn/special/springfestival2023/index.html,2023-01-18 08:21:03
Yearender 2022,https://english.news.cn/special/2022yearender/index.html,2022-12-29 08:13:04
The second part of the 15th meeting of the Conference of the Parties to the Convention on Biological Diversity (COP15),https://english.news.cn/special/2022cop15/index.html,2022-12-15 09:37:05
"Xi attends China-Arab summit, China-GCC summit, visits Saudi Arabia",https://english.news.cn/special/202212xjp/index.html,2022-12-07 21:21:35
2022 FIFA World Cup,http://english.news.cn/special/2022worldcup/index.html,2022-11-19 15:52:04
"Xi attends G20 Summit, APEC Economic Leaders' Meeting and visits Thailand",https://english.news.cn/special/2022G20/index.html,2022-11-14 15:17:35
Special Report: 20th CPC National Congress,https://english.news.cn/special/cpc20/index.html,2022-10-25 10:01:22
The Fifth China International Import Expo,https://english.news.cn/special/2022ciie/index.html,2022-10-05 16:46:42
"Chinese President Xi Jinping attends SCO summit, visits Kazakhstan, Uzbekistan",https://english.news.cn/special/202209SCO/index.html,2022-09-14 16:47:37
South Asia Watch,https://english.news.cn/special/SouthAsiaWatch/index.html,2022-08-31 17:40:46
2022 China International Fair for Trade in Services,http://english.news.cn/special/2022ciftis/index.htm,2022-08-31 10:08:25
This is CPC,https://english.news.cn/special/202208understandingCPC/index.html,2022-08-11 10:55:46
5th BRICS Media Forum,https://english.news.cn/special/202207bricsmediaforum/index.html,2022-07-09 10:16:00
25th anniversary of HK's return to motherland,https://english.news.cn/special/hongkong25/index.html,2022-06-29 11:00:49
14th BRICS Summit,https://english.news.cn/special/2022BRICSsummit/index.htm,2022-06-16 10:57:51
Decade of Miracles,https://english.news.cn/special/2022zgzsn/index.html,2022-05-17 14:12:49
Boao Forum for Asia Annual Conference 2022,http://english.news.cn/special/2022boao/index.htm,2022-04-20 09:10:30
NPC & CPPCC Annual Sessions 2022,https://english.news.cn/special/2022lh/index.html,2022-03-03 08:47:59
Ukraine Crisis,https://english.news.cn/special/2022Ukraine/index.html,2022-02-23 11:36:04
Beijing Winter Olympics and Paralympics,https://english.news.cn/special/2022beijingolympic/,2022-02-02 12:21:22
Spring Festival 2022,https://english.news.cn/special/springfestival2022/index.html,2022-01-28 14:41:47
Beijing 2022 Olympic Winter Games,https://english.news.cn/special/beijing2022/index.htm,2021-12-31 08:29:33
Yearender 2021,http://www.news.cn/english/special/2021yearender/,2021-12-30 10:06:08
No Poverty Land,http://www.news.cn/english/special/wqzd/index.htm,2021-12-15 15:42:01
World Media Summit 2021,http://www.news.cn/english/special/2021wms/index.htm,2021-11-22 21:00:44
Chinese President Xi Jinping meets with U.S. President Joe Biden via video link,http://xinhuanet.com/english/cnleaders/cnleaders/20211116xjp.htm,2021-11-18 12:43:07
Sixth Plenary Session of 19th CPC Central Committee,https://english.news.cn/special/2021lzqh/index.htm,2021-11-09 09:58:58
The Fourth China International Import Expo,http://www.news.cn/english/special/2021jbh/index.htm,2021-10-29 20:04:56
50th anniversary of the restoration of PRC's lawful seat in the United Nations,http://www.news.cn/english/special/2021ChinaUNseat50/index.htm,2021-10-23 10:14:04
Xi in my eyes,http://www.news.cn/english/cnleaders/wyzdxjp/index.htm,2021-10-15 20:09:39
Second United Nations Global Sustainable Transport Conference,http://www.news.cn/english/special/transport2021/index.htm,2021-10-14 15:25:20
15th meeting of the Conference of the Parties to the UN Convention on Biological Diversity,http://www.news.cn/english/special/2021cop15/index.htm,2021-10-10 12:16:55
China International Fair for Trade in Services,http://www.news.cn/english/special/2021ciftis/index.htm,2021-09-01 22:13:34
Situation Changes in Afghanistan,http://www.news.cn/english/special/2021afghan/index.htm,2021-08-31 11:28:23
Tokyo Olympic Games,http://www.xinhuanet.com/english/special/TokyoOlympic/index.htm,2021-07-21 14:03:33
Communist Party of China and World Political Parties Summit,http://www.xinhuanet.com/english/special/2021zddh/index.htm,2021-07-06 17:17:04
The 100th Anniversary of the Founding of The Communist Party of China,http://news.cn/english/special/CPCcentenary/index.htm,2021-06-23 18:50:17
Tracing the Footsteps of Revolutionaries - Europe,http://news.cn/english/special/2021hszj/index.htm,2021-05-21 08:04:18
China International Consumer Products Expo,http://www.xinhuanet.com/english/special/2021CICPE/index.htm,2021-05-07 15:49:08
Boao Forum for Asia Annual Conference 2021,http://www.xinhuanet.com/english/cnleaders/2021Boao/index.htm,2021-04-19 16:13:58
100 Parties on CPC,http://www.news.cn/english/special/bgbd/index.htm,2021-03-23 21:44:03
NPC&CPPCC Annual Sessions 2021,http://www.xinhuanet.com/english/special/2021lh/index.htm,2021-03-03 09:22:26
Chinese Poverty Alleviation Studies,http://www.xinhuanet.com/english/special/2021jpx/index.htm,2021-02-28 13:59:41
Chinese President Xi Jinping hosts China-CEEC summit,http://www.xinhuanet.com/english/cnleaders/2021CEE/index.htm,2021-02-09 08:39:04
President Xi attends WEF Davos Agenda,http://www.xinhuanet.com/english/cnleaders/2021Davos/index.htm,2021-01-25 20:11:06
Spring Festival 2021,http://www.xinhuanet.com/english/special/springfestival2021/index.htm,2021-02-10 20:49:54
Yearender 2020,http://news.cn/english/special/2020yearender/index.htm,2020-12-31 08:54:09
5th BRICS Media Forum,http://www.xinhuanet.com/english/special/2020BRICSmediaforum/index.htm,2020-12-01 16:35:47
Chinese President Xi Jinping attends major multilateral diplomatic events,http://www.xinhuanet.com/english/cnleaders/2020xjp/index.htm,2020-11-10 16:57:12
Fifth Plenary Session of 19th CPC Central Committee,http://www.xinhuanet.com/english/special/202010wzqh/index.htm,2020-10-29 15:38:46
The Third China International Import Expo,http://www.xinhuanet.com/english/special/2020CIIE/index.htm,2020-10-26 20:24:37
President Xi Jinping attends high-level meetings to commemorate UN's 75th anniversary,http://www.xinhuanet.com/english/cnleaders/202009xjp/index.htm,2020-09-21 14:19:01
China International Fair for Trade in Services,http://www.xinhuanet.com/english/special/2020ciftis/index.htm,2020-09-02 08:22:30
Chinese FM Wang Yi's exclusive interview with Xinhua on current China-U.S. relations,http://www.xinhuanet.com/english/special/FMinterview/index.htm,2020-08-06 16:01:20
Preparation for Beijing 2022,http://www.news.cn/english/special/bjdahcb/index.htm,2020-07-30 18:37:46
NPC & CPPCC Annual Sessions 2020,http://www.xinhuanet.com/english/special/2020lh/index.htm,2020-05-20 08:00:00
"A sum-up of recent WHO statements on China, global COVID-19 fight",http://www.xinhuanet.com/english/2020-02/29/c_138828336.htm,2020-05-15 15:39:10
Washington Post's report exposes White House's 4 failures since coronavirus crisis,http://www.xinhuanet.com/english/2020-04/20/c_138992998.htm,2020-05-15 15:39:10
What does The Lancet chief editor say about coronavirus response of western countries?,http://www.xinhuanet.com/english/2020-05/09/c_139042789.htm,2020-05-15 15:39:10
China's Resort Island Launches Post-epidemic Plan to Revive Tourism,http://www.hq.xinhuanet.com/zt/2020ywly/index.htm,2020-05-14 21:33:37
